States/UTs,x2018,x2019,x2020,x2021
Andhra Pradesh,1897,2036,1704,1904
Arunachal Pradesh,58,44,22,39
Assam,681,659,635,629
Bihar,1474,1449,1409,1747
Chhattisgarh,1068,1166,956,998
Goa,25,34,30,30
Gujarat,2477,2226,1908,2391
Haryana,1486,1147,914,902
Himachal Pradesh,241,220,163,203
Jharkhand,1139,1019,935,795
Karnataka,3058,3178,2899,2777
Kerala,876,979,629,768
Madhya Pradesh,3180,3073,2919,3022
Maharashtra,3446,3344,2971,3411
Manipur,30,35,16,21
Meghalaya,6,20,13,39
Mizoram,14,25,22,33
Nagaland,13,4,13,16
Odisha,1475,1503,1179,1099
Punjab,1418,1302,1112,1363
Rajasthan,1925,2041,1802,1945
Sikkim,45,22,16,18
Tamil Nadu,4285,3418,2893,5112
Telangana,1165,902,759,864
Tripura,72,70,67,60
Uttarakhand,266,253,146,174
Uttar Pradesh,7179,6816,5825,6266
West Bengal,1435,1341,1085,1187
Andaman and Nicobar ,6,5,6,14
Chandigarh,1,5,12,36
Dadra and Nagar Haveli,22,28,18,29
Daman and Diu,3,4,23,58
Delhi,123,234,410,236
Jammu and Kashmir,108,89,68,78
Ladakh,23,25,13,31
Lakshadweep,23,31,3,23
Puducherry,10,20,17,19
